SPLIT,,,,Directors,No of Movies,,,,
James McTeigue,,,,Lilly Wachowski,1,,,,
John Carpenter,,,,Kátia Lund,1,,,,
Pete Docter,Ronnie Del Carmen,,,Rob Minkoff,1,,,,
Guy Ritchie,,,,Éric Toledano,1,,,,
Alfred Hitchcock,,,,Peter Ramsey,1,,,,
Juan José Campanella,,,,Adrian Molina,1,,,,
David Lean,,,,Gene Kelly,1,,,,
Hayao Miyazaki,,,,Bob Peterson,1,,,,
Martin McDonagh,,,,Amole Gupte,1,,,,
Danny Boyle,,,,Daniel Scheinert,1,,,,
Clint Eastwood,,,,Ronnie Del Carmen,1,,,,
Gavin O'Connor,,,,Carlos Martínez López,1,,,,
Joel Coen,Ethan Coen,,,Chris Sanders,1,,,,
Hayao Miyazaki,,,,David Silverman,1,,,,
Denis Villeneuve,,,,Jan Pinkava,1,,,,
Clint Eastwood,,,,John Musker,1,,,,
Charles Chaplin,,,,Kirk Wise,1,,,,
Ridley Scott,,,,Rodney Rothman,1,,,,
Steven Spielberg,,,,Sam Wood,1,,,,
Elia Kazan,,,,,,,,,
Carol Reed,,,,,,,,,
Majid Majidi,,,,,,,,,
William Wyler,,,,,,,,,
Steve McQueen,,,,,,,,,
Clyde Bruckman,Buster Keaton,,,,,,,,
Ingmar Bergman,,,,,,,,,
David Fincher,,,,,,,,,
Richard Linklater,,,,,,,,,
David Yates,,,,,,,,,
Michael Cimino,,,,,,,,,
Jim Sheridan,,,,,,,,,
Wes Anderson,,,,,,,,,
Frank Capra,,,,,,,,,
Henri-Georges Clouzot,,,,,,,,,
Stanley Kubrick,,,,,,,,,
Buster Keaton,,,,,,,,,
Bong Joon Ho,,,,,,,,,
Lenny Abrahamson,,,,,,,,,
Sergio Pablos,Carlos Martínez López,,,,,,,,
Mel Gibson,,,,,,,,,
Ingmar Bergman,,,,,,,,,
Damián Szifron,,,,,,,,,
Joel Coen,Ethan Coen,,,,,,,,
George Miller,,,,,,,,,
Dean DeBlois,Chris Sanders,,,,,,,,
Adam Elliot,,,,,,,,,
Pete Docter,David Silverman,Lee Unkrich,,,,,,,
Steven Spielberg,,,,,,,,,
Carl Theodor Dreyer,,,,,,,,,
Terry George,,,,,,,,,
Peter Weir,,,,,,,,,
Yasujirô Ozu,,,,,,,,,
Satyajit Ray,,,,,,,,,
John G. Avildsen,,,,,,,,,
Oliver Stone,,,,,,,,,
James Mangold,,,,,,,,,
Rob Reiner,,,,,,,,,
James Cameron,,,,,,,,,
Tom McCarthy,,,,,,,,,
Ron Howard,,,,,,,,,
Sean Penn,,,,,,,,,
Sidney Lumet,,,,,,,,,
Victor Fleming,George Cukor,Mervyn LeRoy,,,,,,,
James Mangold,,,,,,,,,
Harold Ramis,,,,,,,,,
Brad Bird,Jan Pinkava,,,,,,,,
Richard Linklater,,,,,,,,,
William Friedkin,,,,,,,,,
William Wyler,,,,,,,,,
Brad Bird,,,,,,,,,
Ernst Lubitsch,,,,,,,,,
John Ford,,,,,,,,,
Alfred Hitchcock,,,,,,,,,
Gillo Pontecorvo,,,,,,,,,
Lasse Hallström,,,,,,,,,
Stuart Rosenberg,,,,,,,,,
Alejandro G. Iñárritu,,,,,,,,,
Gore Verbinski,,,,,,,,,
